ticker,company,gics_sector,source
PGR,Progressive,Financials-Insurance,A-watchlist
CEG,Constellation Energy,Utilities,A-watchlist
AMAT,Applied Materials,InfoTech-SemiEquipment,A-watchlist
GOOGL,Alphabet,CommServices,A-watchlist
MU,Micron,InfoTech-Semis,A-watchlist
NVDA,NVIDIA,InfoTech-Semis,A-watchlist
COHR,Coherent,InfoTech-Hardware,A-watchlist
CRWV,CoreWeave,InfoTech-ITServices,A-watchlist
NBIS,Nebius,InfoTech-ITServices,A-watchlist
TLN,Talen Energy,Utilities,A-watchlist
ANET,Arista Networks,InfoTech-Hardware,A-watchlist
AMKR,Amkor Technology,InfoTech-Semis,A-watchlist
CRDO,Credo Technology,InfoTech-Semis,A-watchlist
LRCX,Lam Research,InfoTech-SemiEquipment,A-watchlist
LEU,Centrus Energy,Energy-NuclearFuel,A-watchlist
EXEL,Exelixis,HealthCare-Biotech,A-watchlist
TMUS,T-Mobile US,CommServices-Telecom,A-watchlist
DAL,Delta Air Lines,Industrials-Airlines,A-watchlist
HUBB,Hubbell,Industrials-ElectricalEquip,A-watchlist
GEV,GE Vernova,Industrials-ElectricalEquip,A-watchlist
VRT,Vertiv,Industrials-Cooling,A-watchlist
MELI,MercadoLibre,ConsDiscretionary-Retail,A-watchlist
CRCL,Circle,Financials-Fintech,A-watchlist
BE,Bloom Energy,Utilities-FuelCell,B-GICS能源
ALB,Albemarle,Materials-Lithium,B-GICS材料
FCX,Freeport-McMoRan,Materials-Copper,B-GICS材料
MTRN,Materion,Materials-Specialty,B-GICS材料
ROL,Rollins,CommServ-PestControl,B-GICS商业服务
NSC,Norfolk Southern,Industrials-Railroad,B-GICS运输
UNP,Union Pacific,Industrials-Railroad,B-GICS运输
RIVN,Rivian,ConsDisc-Autos,B-GICS汽车
NIO,NIO,ConsDisc-Autos,B-GICS汽车
TSLA,Tesla,ConsDisc-Autos,B-GICS汽车
BIRK,Birkenstock,ConsDisc-Footwear,B-GICS耐用消费
RL,Ralph Lauren,ConsDisc-Apparel,B-GICS耐用消费
GAP,Gap,ConsDisc-Apparel,B-GICS耐用消费
BOOT,Boot Barn,ConsDisc-Retail,B-GICS零售
ROST,Ross Stores,ConsDisc-OffPrice,B-GICS零售
VZ,Verizon,CommServ-Telecom,B-GICS电信
NFLX,Netflix,CommServ-Streaming,B-GICS媒体
DIS,Disney,CommServ-Media,B-GICS媒体
LNTH,Lantheus,HealthCare-Diagnostics,B-GICS医疗设备
LLY,Eli Lilly,HealthCare-Pharma,B-GICS制药
JNJ,Johnson & Johnson,HealthCare-Pharma,B-GICS制药
SLS,SELLAS Life Sciences,HealthCare-Biotech,B-GICS生物
PB,Prosperity Bancshares,Financials-RegionalBank,B-GICS银行
CFG,Citizens Financial,Financials-RegionalBank,B-GICS银行
TFC,Truist,Financials-Bank,B-GICS银行
JPM,JPMorgan,Financials-MoneyCenter,B-GICS银行
GS,Goldman Sachs,Financials-InvestmentBank,B-GICS银行
BAC,Bank of America,Financials-MoneyCenter,B-GICS银行
AII,American Integrity,Financials-Insurance,B-GICS保险
AIG,AIG,Financials-Insurance,B-GICS保险
MKL,Markel,Financials-Insurance,B-GICS保险
LNC,Lincoln National,Financials-Life,B-GICS保险
AFG,American Financial,Financials-Insurance,B-GICS保险
WMB,Williams,Energy-Midstream,B-GICS能源
EPD,Enterprise Products,Energy-Midstream,B-GICS能源
KMI,Kinder Morgan,Energy-Midstream,B-GICS能源
OKE,ONEOK,Energy-Midstream,B-GICS能源
CRWD,CrowdStrike,InfoTech-Cybersecurity,B-GICS软件
WDAY,Workday,InfoTech-Software,B-GICS软件
MNDY,monday.com,InfoTech-Software,B-GICS软件
NICE,NICE,InfoTech-Software,B-GICS软件
AVPT,AvePoint,InfoTech-Software,B-GICS软件
SNOW,Snowflake,InfoTech-Software,B-GICS软件
DELL,Dell,InfoTech-Hardware,B-GICS硬件
CDW,CDW,InfoTech-ITDistributor,B-GICS硬件
HPE,HPE,InfoTech-Hardware,B-GICS硬件
SMCI,Super Micro,InfoTech-Servers,B-GICS硬件
AMD,AMD,InfoTech-Semis,B-GICS半导体
SNDK,Sandisk,InfoTech-Memory,B-GICS半导体
KLAC,KLA,InfoTech-SemiEquipment,B-GICS半导体
ASML,ASML,InfoTech-SemiEquipment,B-GICS半导体
ETR,Entergy,Utilities,B-GICS公用
NEE,NextEra,Utilities-Renewables,B-GICS公用
FLNC,Fluence Energy,Utilities-Storage,B-GICS公用
WLDN,Willdan,Industrials-GridServices,B-GICS公用
ENLT,Enlight Renewable,Utilities-Renewables,B-GICS公用
DLR,Digital Realty,REIT-DataCenter,B-GICS地产
EQIX,Equinix,REIT-DataCenter,B-GICS地产
O,Realty Income,REIT-NetLease,B-GICS地产
PLD,Prologis,REIT-Industrial,B-GICS地产
DBD,Diebold Nixdorf,InfoTech-Hardware,B-GICS硬件
