ticker,company,gics_sector,source
PGR,Progressive,Financials-Insurance,A-watchlist
CEG,Constellation Energy,Utilities,A-watchlist
CRDO,Credo Technology,InfoTech-Semis,A-watchlist
FNV,Franco-Nevada,Materials-GoldRoyalty,A-watchlist(I对冲)
AMAT,Applied Materials,InfoTech-SemiEquipment,A-watchlist
GOOGL,Alphabet,CommServices,A-watchlist
MU,Micron,InfoTech-Semis,A-watchlist
NVDA,NVIDIA,InfoTech-Semis,A-watchlist
COHR,Coherent,InfoTech-Optics,A-watchlist
CRWV,CoreWeave,InfoTech-ITServices,A-watchlist
NBIS,Nebius,InfoTech-ITServices,A-watchlist
TLN,Talen Energy,Utilities,A-watchlist
ANET,Arista Networks,InfoTech-Hardware,A-watchlist
AMKR,Amkor Technology,InfoTech-Semis,A-watchlist
LRCX,Lam Research,InfoTech-SemiEquipment,A-watchlist
LEU,Centrus Energy,Energy-NuclearFuel,A-watchlist
EXEL,Exelixis,HealthCare-Biotech,A-watchlist
TMUS,T-Mobile US,CommServices-Telecom,A-watchlist
DAL,Delta Air Lines,Industrials-Airlines,A-watchlist
HUBB,Hubbell,Industrials-ElectricalEquip,A-watchlist
GEV,GE Vernova,Industrials-ElectricalEquip,A-watchlist
VRT,Vertiv,Industrials-Cooling,A-watchlist
MELI,MercadoLibre,ConsDiscretionary-Retail,A-watchlist
CRCL,Circle,Financials-Stablecoin,A-watchlist(I加密修复)
COIN,Coinbase,Financials-Crypto,A-watchlist(I加密修复)
CLSK,CleanSpark,InfoTech-Mining,A-watchlist(I加密修复)
HUT,Hut 8,InfoTech-Mining,A-watchlist(I加密修复)
IREN,IREN,InfoTech-AICloud,A-watchlist
MSTR,MicroStrategy,Financials-BTCProxy,A-watchlist(I加密修复)
FN,Fabrinet,InfoTech-OpticsEMS,D-bottleneck
VECO,Veeco Instruments,InfoTech-SemiEquipment,D-bottleneck
ASML,ASML Holding,InfoTech-SemiEquipment,C-funnel-硬件
KLAC,KLA Corporation,InfoTech-SemiEquipment,C-funnel-硬件
ONTO,Onto Innovation,InfoTech-SemiEquipment,C-funnel-硬件
LITE,Lumentum,InfoTech-Optics,C-funnel-硬件
APLD,Applied Digital,InfoTech-DataCenterREIT,C-funnel-爆发
ALAB,Astera Labs,InfoTech-Semis,C-funnel-爆发
ASTS,AST SpaceMobile,CommServices-Satellite,C-funnel-爆发
IONQ,IonQ,InfoTech-Quantum,C-funnel-爆发
WPM,Wheaton Precious Metals,Materials-GoldRoyalty,C-funnel-加密对冲
OR,OR Royalties,Materials-GoldRoyalty,C-funnel-加密对冲
BE,Bloom Energy,Utilities-FuelCell,v54-B-GICS
ALB,Albemarle,Materials-Lithium,v54-B-GICS
FCX,Freeport,Materials-Copper,v54-B-GICS
MTRN,Materion,Materials-Specialty,v54-B-GICS
CASA,Casella,Industrials-Waste,v54-B-GICS
CWST,Clean Harbors,Industrials-Waste,v54-B-GICS
LUNR,Intuitive Machines,Industrials-Space,v54-B-GICS
BA,Boeing,Industrials-Aerospace,v54-B-GICS
NSC,Norfolk Southern,Industrials-Railroad,v54-B-GICS
UNP,Union Pacific,Industrials-Railroad,v54-B-GICS
GNTX,Gentex,ConsDisc-AutoParts,v54-B-GICS
F,Ford,ConsDisc-Autos,v54-B-GICS
RIVN,Rivian,ConsDisc-Autos,v54-B-GICS
NIO,NIO,ConsDisc-Autos,v54-B-GICS
TSLA,Tesla,ConsDisc-Autos,v54-B-GICS
TNL,Travel+Leisure,ConsDisc-Travel,v54-B-GICS
NCLH,Norwegian Cruise,ConsDisc-Cruise,v54-B-GICS
RL,Ralph Lauren,ConsDisc-Apparel,v54-B-GICS
GAP,Gap,ConsDisc-Apparel,v54-B-GICS
BOOT,Boot Barn,ConsDisc-Retail,v54-B-GICS
ROST,Ross Stores,ConsDisc-OffPrice,v54-B-GICS
TGT,Target,Staples-Retail,v54-B-GICS
VZ,Verizon,CommServ-Telecom,v54-B-GICS
NFLX,Netflix,CommServ-Streaming,v54-B-GICS
DIS,Disney,CommServ-Media,v54-B-GICS
EA,Electronic Arts,CommServ-Gaming,v54-B-GICS
TTWO,Take-Two,CommServ-Gaming,v54-B-GICS
KHC,Kraft Heinz,Staples-Food,v54-B-GICS
BF,Brown-Forman,Staples-Bev,v54-B-GICS
EPC,Edgewell,Staples-PersonalCare,v54-B-GICS
ELF,e.l.f. Beauty,Staples-Beauty,v54-B-GICS
MO,Altria,Staples-Tobacco,v54-B-GICS
PM,Philip Morris,Staples-Tobacco,v54-B-GICS
KO,Coca-Cola,Staples-Bev,v54-B-GICS
GIS,General Mills,Staples-Food,v54-B-GICS
LNTH,Lantheus,HealthCare-Diag,v54-B-GICS
LLY,Eli Lilly,HealthCare-Pharma,v54-B-GICS
JNJ,J&J,HealthCare-Pharma,v54-B-GICS
PFE,Pfizer,HealthCare-Pharma,v54-B-GICS
