AAPL,Apple,消费科技,D5-聪明钱
ABNB,Airbnb,在线旅游,GICS-消费服务
ADI,Analog Devices,模拟芯片,GICS-半导体
AEM,Agnico Eagle,金矿,非AI主题14
AFRM,Affirm,BNPL金融科技,GICS-金融
ALAB,Astera Labs,AI连接,AI赛道2
ALB,Albemarle,锂矿,GICS-材料
AMAT,Applied Materials,半导体设备,F-watchlist
AMKR,Amkor,先进封装OSAT,F-watchlist
AMT,American Tower,电信铁塔,GICS-电信
AMZN,Amazon,电商/云,GICS-零售
ANET,Arista Networks,AI网络,F-watchlist
APLD,Applied Digital,Data Center/AI Cloud,H-爆发股(R1)
ARM,ARM Holdings,芯片IP,AI赛道2
ASML,ASML,光刻机,GICS-半导体
AXP,American Express,金融,GICS-金融
BAC,Bank of America,银行,GICS-金融
BIDU,Baidu,中国AI,非AI主题13
BKNG,Booking,在线旅游,GICS-消费服务
BSX,Boston Scientific,医疗器械,GICS-医疗
BTDR,Bitdeer,加密矿企转AI,D5-聪明钱(Druckenmiller)
CAT,Caterpillar,工程机械,GICS-工业
CBRS,Cerebras,AI芯片,H-爆发股(R4)
CCI,Crown Castle,电信铁塔,GICS-电信
CCJ,Cameco,铀矿,GICS-材料
CCL,Carnival,邮轮,GICS-消费服务
CDNS,Cadence,EDA,GICS-半导体
CEG,Constellation Energy,核电IPP,F-watchlist
CIEN,Ciena,光网络,H-爆发股(R3)
CLS,Celestica,AI服务器ODM,D6-财报催化
CLSK,CleanSpark,加密矿企转AI,I-加密修复
CME,CME Group,交易所,GICS-金融
CMG,Chipotle,餐饮,GICS-消费服务
COHR,Coherent,光互连,H-爆发股(R3)
COIN,Coinbase,交易所,I-加密修复
COP,ConocoPhillips,油气勘探,GICS-能源
COST,Costco,折扣零售,GICS-零售
CRCL,Circle,稳定币,I-加密修复
CRDO,Credo Technology,AI网络/连接,F-watchlist
CRM,Salesforce,AI软件-估值修复,I-估值修复(AI)
CRWD,CrowdStrike,网络安全,GICS-软件
CRWV,CoreWeave,AI Cloud,H-爆发股(R1)
CVX,Chevron,能源,GICS-能源
DAL,Delta Air Lines,航空,F-watchlist
DDOG,Datadog,可观测,GICS-软件
DE,Deere,农机,非AI主题8
DELL,Dell,AI服务器,AI赛道9
DHR,Danaher,生命科学工具,GICS-医疗
DLR,Digital Realty,数据中心REIT,AI赛道10
DOW,Dow Inc,化学材料,GICS-材料
EL,Estee Lauder,美妆,GICS-必需
EME,EMCOR,数据中心E&C,AI赛道10
EPD,Enterprise Products,中游管道,GICS-能源
EQIX,Equinix,数据中心REIT,AI赛道10
PLD,Prologis,物流REIT,GICS-房地产
EQT,EQT Corp,天然气,GICS-能源
ETN,Eaton,电气设备,AI赛道8
EXEL,Exelixis,生物医药,F-watchlist
FCX,Freeport-McMoRan,铜矿,GICS-材料
FIX,Comfort Systems,机电工程/数据中心,D6-财报催化
FN,Fabrinet,光模块代工,H-爆发股(R3)
FNV,Franco-Nevada,黄金权利金,非AI主题14
GDX,Gold Miners ETF,金矿篮子,非AI主题14
GE,GE Aerospace,航空发动机,GICS-工业
GEV,GE Vernova,电力设备,F-watchlist
GOOGL,Alphabet,AI平台,F-watchlist
HHH,Howard Hughes,综合地产,D5-聪明钱(Ackman)
HOOD,Robinhood,经纪/加密,GICS-金融
HPE,Hewlett Packard Ent,服务器,GICS-硬件
HUBB,Hubbell,电气设备,F-watchlist
HUBS,HubSpot,AI软件-估值修复,I-估值修复(AI)
HUT,Hut 8,加密矿企转AI,I-加密修复
HWM,Howmet Aerospace,航空零部件,GICS-工业(国防)
ICE,Intercontinental Exchange,交易所,GICS-金融
IREN,Iris Energy,加密矿企转AI,I-加密修复
ISRG,Intuitive Surgical,手术机器人,GICS-医疗
JCI,Johnson Controls,暖通/数据中心,AI赛道10
JD,JD.com,中国电商,非AI主题13
KLAC,KLA,半导体量测,GICS-半导体
KMI,Kinder Morgan,中游管道,GICS-能源
KO,Coca-Cola,消费必需,D5-聪明钱
KWEB,中概互联ETF,中国消费篮子,非AI主题13
LEU,Centrus Energy,铀浓缩/HALEU,F-watchlist
LITE,Lumentum,光互连,H-爆发股(R3)
LLY,Eli Lilly,GLP-1,非AI主题6
LMT,Lockheed Martin,国防,GICS-工业(国防)
LNG,Cheniere Energy,LNG出口,GICS-能源
LRCX,Lam Research,半导体设备,F-watchlist
MAR,Marriott,酒店,GICS-消费服务
MARA,Marathon Digital,加密矿企,I-加密修复
MCO,Moody's,评级,GICS-金融
MDT,Medtronic,医疗器械,GICS-医疗
MELI,MercadoLibre,拉美电商/金融科技,F-watchlist
MP,MP Materials,稀土,GICS-材料
MPLX,MPLX LP,中游管道,GICS-能源
MPTI,M-Tron Industries,小盘AI频率元件,H-爆发股(R4)
MRVL,Marvell,定制ASIC,AI赛道2
MSTR,Strategy,BTC代理,I-加密修复
MU,Micron,Memory/HBM,GICS-半导体
NBIS,Nebius Group,AI Cloud,H-爆发股(R1)
NFLX,Netflix,流媒体,GICS-媒体
NOC,Northrop Grumman,国防,GICS-工业(国防)
NOW,ServiceNow,AI软件-估值修复,I-估值修复(AI)
NRG,NRG Energy,电力IPP,F-watchlist
NU,Nu Holdings,新兴市场银行,GICS-金融
NVDA,Nvidia,AI芯片,GICS-半导体
NVO,Novo Nordisk,GLP-1,非AI主题6
OKE,ONEOK,中游管道,GICS-能源
OKLO,Oklo,SMR核电,AI赛道7-电力
ON,ON Semiconductor,功率半导体,GICS-半导体
ORCL,Oracle,OCI/AI云backlog,GICS-软件
PANW,Palo Alto,网络安全,GICS-软件
PDD,PDD Holdings,中国电商,非AI主题13
PG,Procter & Gamble,消费必需,GICS-必需
PGR,Progressive,财险保险,A-待执行(8/19月报条件)
PLTR,Palantir,AI应用,GICS-软件
PWR,Quanta Services,电网E&C,AI赛道8
QCOM,Qualcomm,端侧AI,AI赛道16
RCL,Royal Caribbean,邮轮,GICS-消费服务
RGLD,Royal Gold,黄金权利金,非AI主题14
RHM,Rheinmetall,欧洲国防,GICS-工业(国防)
RIOT,Riot Platforms,加密矿企,I-加密修复
ROST,Ross Stores,折扣零售,GICS-零售
RTX,RTX Corp,国防,GICS-工业(国防)
SCCO,Southern Copper,铜矿,GICS-材料
SHOP,Shopify,电商SaaS,GICS-软件
SLB,Schlumberger,油服,GICS-能源
SMCI,Super Micro,AI服务器,AI赛道9
SMR,NuScale Power,SMR核电,AI赛道7-电力
SNDK,SanDisk,Memory/HBM链,H-爆发股(R1)
SNOW,Snowflake,数据云,GICS-软件
SNPS,Synopsys,EDA,GICS-半导体
SPGI,S&P Global,金融数据,GICS-金融
SPOT,Spotify,流媒体,GICS-媒体
SQ,Block,支付,GICS-金融
STX,Seagate,Memory/存储,GICS-半导体
TCEHY,Tencent,中国互联网,非AI主题13
TEAM,Atlassian,AI软件-估值修复,I-估值修复(AI)
TJX,TJX,折扣零售,GICS-零售
TLN,Talen Energy,核电IPP,F-watchlist
TMO,Thermo Fisher,生命科学,非AI主题6
TMUS,T-Mobile,电信,F-watchlist
TRGP,Targa Resources,中游管道,GICS-能源
TSLA,Tesla,机器人/自动驾驶,AI赛道13
TTWO,Take-Two,游戏,GICS-媒体
TXN,Texas Instruments,模拟芯片,GICS-半导体
UBER,Uber,出行平台,GICS-消费服务
UNH,UnitedHealth,医保,GICS-医疗
VRT,Vertiv,AI散热/电力,F-watchlist
VST,Vistra,电力IPP,F-watchlist
WDC,Western Digital,Memory/存储,GICS-半导体
WMT,Walmart,零售,GICS-零售
WPM,Wheaton Precious,贵金属权利金,非AI主题14
XOM,ExxonMobil,能源,GICS-能源
ZS,Zscaler,网络安全,GICS-软件
ticker,company,gics_sector,source
AMLX,Amylyx Pharmaceuticals; Inc.,screener,D6-当日涨幅榜
HAE,Haemonetics Corporation,screener,D6-当日涨幅榜
UGI,UGI Corporation,screener,D6-当日涨幅榜
HTFL,Heartflow; Inc.,screener,D6-当日涨幅榜
DOO,BRP Inc.,screener,D6-当日涨幅榜
NUVB,Nuvation Bio Inc.,screener,D6-当日涨幅榜
DUOL,Duolingo; Inc.,screener,D6-当日涨幅榜
TRGP,Targa Resources; Inc.,screener,D6-当日涨幅榜
FRHC,Freedom Holding Corp.,screener,D6-当日涨幅榜
CCC,CCC Intelligent Solutions Holdi,screener,D6-当日涨幅榜
BBWI,Bath & Body Works; Inc.,screener,D6-当日涨幅榜
LEGN,Legend Biotech Corporation,screener,D6-当日涨幅榜
CHRN,ChronoScale Holdings Corporatio,screener,D6-当日涨幅榜
PODD,Insulet Corporation,screener,D6-当日涨幅榜
PBLS,Parabilis Medicines; Inc.,screener,D6-当日涨幅榜
MNDY,monday.com Ltd.,screener,D6-当日涨幅榜
PLNT,Planet Fitness; Inc.,screener,D6-当日涨幅榜
CLBT,Cellebrite DI Ltd.,screener,D6-当日涨幅榜
BHC,Bausch Health Companies Inc.,screener,D6-当日涨幅榜
FOUR,Shift4 Payments; Inc.,screener,D6-当日涨幅榜
HUBS,HubSpot; Inc.,screener,D6-当日涨幅榜
SRRK,Scholar Rock Holding Corporatio,screener,D6-当日涨幅榜
CLMT,Calumet; Inc,screener,D6-当日涨幅榜
SPOT,Spotify Technology S.A.,screener,D6-当日涨幅榜
BVC,BitVentures Limited,screener,D6-当日涨幅榜
NOK,Nokia Corporation Sponsored,screener,D6-成交活跃榜
