ticker,company,gics_sector,source
TSM,TSMC,Semiconductors,A-持仓GTC
BRK.B,Berkshire Hathaway,Diversified Financials,A-持仓GTC
PGR,Progressive,Insurance,A-条件预案
GOOGL,Alphabet,Media Entertainment,A-观察
CEG,Constellation Energy,Utilities,A-watchlist触发
NRG,NRG Energy,Utilities,A-加仓观察
AMAT,Applied Materials,Semi Equipment,F-watchlist
CRDO,Credo Technology,Semiconductors,F-watchlist
LEU,Centrus Energy,Utilities,F-watchlist
LRCX,Lam Research,Semi Equipment,F-watchlist
VRT,Vertiv,Capital Goods,F-watchlist
NVDA,NVIDIA,Semiconductors,F-watchlist
MU,Micron,Semiconductors,F-watchlist
COHR,Coherent,Tech Hardware,F-watchlist
GEV,GE Vernova,Utilities,F-watchlist
NBIS,Nebius,AI Cloud,F-watchlist
CRWV,CoreWeave,AI Cloud,F-watchlist
MELI,MercadoLibre,Retailing,F-watchlist
EXEL,Exelixis,Biotech,F-watchlist
TMUS,T-Mobile,Telecom,F-watchlist
DAL,Delta Airlines,Transportation,F-watchlist
HUBB,Hubbell,Capital Goods,F-watchlist
TLN,Talen Energy,Utilities,F-watchlist
ANET,Arista Networks,Tech Hardware,F-watchlist
AMKR,Amkor,Semiconductors,F-watchlist
CRCL,Circle,Fintech,F-watchlist
ON,ON Semiconductor,Semiconductors,B-GICS半导体
VICR,Vicor Corporation,Semiconductors,B-GICS半导体
AEHR,Aehr Test Systems,Semi Equipment,B-D6财报催化
SKHY,SK Hynix,Semiconductors,B-HBM存储
WDC,Western Digital,Semiconductors,B-HBM存储
CRDO,Credo Technology,Semiconductors,B-AI网络
PWR,Quanta Services,Capital Goods,B-电网设备
ETD,Eaton Corporation,Capital Goods,B-电网设备
DTE,DTE Energy,Utilities,B-电力数据中心
FNV,Franco-Nevada,Materials,B-黄金对冲
WPM,Wheaton Precious Metals,Materials,B-黄金对冲
NEM,Newmont,Materials,B-黄金对冲
KGC,Kinross Gold,Materials,B-黄金对冲
POET,POET Technologies,Semiconductors,B-光模块
LITE,Lumentum,Tech Hardware,B-光模块
SMCI,Super Micro,Tech Hardware,B-AI散热
MODV,ModivCare,Health Care,B-D1量化
EQIX,Equinix,Real Estate,B-数据中心REIT
DLR,Digital Realty,Real Estate,B-数据中心REIT
PLTR,Palantir,Software,B-AI Agent
NOW,ServiceNow,Software,B-AI Agent
CRM,Salesforce,Software,B-AI Agent
SOUN,SoundHound AI,Software,B-AI应用
QCOM,Qualcomm,Semiconductors,B-端侧AI
MRVL,Marvell Technology,Semiconductors,B-定制ASIC
ALAB,Astera Labs,Semiconductors,B-AI连接
CCJ,Cameco,Utilities,B-核电铀
LEU,Centrus Energy,Utilities,B-HALEU
BTBT,Bit Digital,Software,B-加密转AI
HUT,Hut 8,Software,B-加密转AI
IREN,Iris Energy,Software,B-加密转AI
LMT,Lockheed Martin,Capital Goods,B-国防
NOC,Northrop Grumman,Capital Goods,B-国防
HWM,Howmet Aerospace,Capital Goods,B-国防航空
UNH,UnitedHealth,Health Care,B-医疗
LLY,Eli Lilly,Pharma,B-GLP1
NVO,Novo Nordisk,Pharma,B-GLP1
COST,Costco,Staples,B-D1价值
WMT,Walmart,Staples,B-D1价值
HD,Home Depot,Retailing,B-D1价值
V,Visa,Fintech,B-D1质量
MA,Mastercard,Fintech,B-D1质量
SPGI,S&P Global,Fintech,B-D1质量
MCO,Moody's,Fintech,B-D1质量
FI,Fiserv,Fintech,B-D4技术面
GPN,Global Payments,Fintech,B-D4技术面
SQ,Block,Fintech,B-D4技术面
SHOP,Shopify,Software,B-D3事件
SNOW,Snowflake,Software,B-D3事件
DDOG,Datadog,Software,B-D3事件
ZS,Zscaler,Software,B-D3事件
NET,Cloudflare,Software,B-D3事件
UBER,Uber,Transportation,B-D5聪明钱
ABNB,Airbnb,Consumer Services,B-D5聪明钱
BKNG,Booking Holdings,Consumer Services,B-D5聪明钱
ORLY,O'Reilly Automotive,Retailing,B-D1质量
AZO,AutoZone,Retailing,B-D1质量
TJX,TJX Companies,Retailing,B-D1价值
LULU,Lululemon,Consumer Durables,B-D4超卖
NKE,Nike,Consumer Durables,B-D4超卖
DE,Deere & Company,Capital Goods,B-D5聪明钱
CAT,Caterpillar,Capital Goods,B-D5聪明钱
EMR,Emerson Electric,Capital Goods,B-D1价值
ITW,Illinois Tool Works,Capital Goods,B-D1质量
WM,Waste Management,Commercial Services,B-D1防御
RSG,Republic Services,Commercial Services,B-D1防御
CPRT,Copart,Commercial Services,B-D1质量
CSGP,CoStar Group,Commercial Services,B-D3事件
TTWO,Take-Two Interactive,Media,B-D6催化
EA,Electronic Arts,Media,B-D6催化
NFLX,Netflix,Media,B-D6催化
DIS,Disney,Media,B-D4超卖
CMCSA,Comcast,Telecom,B-D4超卖
T,AT&T,Telecom,B-D1收益
VZ,Verizon,Telecom,B-D1收益
AMT,American Tower,Real Estate,B-D1收益
PLD,Prologis,Real Estate,B-D1价值
O,Realty Income,Real Estate,B-D1收益
XOM,Exxon Mobil,Energy,B-D1价值
CVX,Chevron,Energy,B-D1价值
OXY,Occidental Petroleum,Energy,B-D5聪明钱
SLB,Schlumberger,Energy,B-D1价值
EQT,EQT Corporation,Energy,B-D3事件
LNG,Cheniere Energy,Energy,B-D3事件
FCX,Freeport-McMoRan,Materials,B-D1周期
NUE,Nucor,Materials,B-D1价值
LIN,Linde,Materials,B-D1质量
APD,Air Products,Materials,B-D1质量
SHW,Sherwin-Williams,Materials,B-D1质量
JPM,JPMorgan,Banks,B-D1质量
BAC,Bank of America,Banks,B-D1价值
GS,Goldman Sachs,Banks,B-D3事件
MS,Morgan Stanley,Banks,B-D3事件
SCHW,Charles Schwab,Banks,B-D1价值
AXP,American Express,Fintech,B-D1质量
DFS,Discover Financial,Fintech,B-D4超卖
COF,Capital One,Banks,B-D3事件
PNC,PNC Financial,Banks,B-D1价值
USB,US Bancorp,Banks,B-D1价值
TRV,Travelers,Insurance,B-D12保险
AIG,American International,Insurance,B-D12保险
MET,MetLife,Insurance,B-D12保险
AFL,Aflac,Insurance,B-D12保险
ALL,Allstate,Insurance,B-D12保险
CB,Chubb,Insurance,B-D12保险
MRK,Merck,Pharma,B-D1价值
PFE,Pfizer,Pharma,B-D4超卖
ABBV,AbbVie,Pharma,B-D1价值
JNJ,Johnson & Johnson,Pharma,B-D1防御
TMO,Thermo Fisher,Health Care,B-D1质量
ISRG,Intuitive Surgical,Health Care,B-D1质量
BSX,Boston Scientific,Health Care,B-D6催化
MDT,Medtronic,Health Care,B-D4超卖
ELV,Elevance Health,Health Care,B-D4超卖
HCA,HCA Healthcare,Health Care,B-D1价值
DGX,Quest Diagnostics,Health Care,B-D1质量
DHR,Danaher,Health Care,B-D1质量
AMGN,Amgen,Pharma,B-D1价值
GILD,Gilead Sciences,Pharma,B-D1价值
VRTX,Vertex Pharma,Biotech,B-D1质量
REGN,Regeneron,Biotech,B-D1质量
