ticker,company,gics_sector,source
MU,Micron Technology,Semiconductors,A-待执行项(GTC$880-900×6+$820-850×6)
ALAB,Astera Labs,Semiconductors,A-待执行项(GTC$265-275×10)
GOOGL,Alphabet,Communication Services,A-待执行项(≤$295换仓META)
CEG,Constellation Energy,Utilities,A-待执行项(watchlist$258)
AMAT,Applied Materials,Semiconductors,A-待执行项(watchlist$410-440)
NVDA,NVIDIA,Semiconductors,A-待执行项(watchlist≤$180)
COHR,Coherent,Technology Hardware,A-待执行项(watchlist$260-290)
CRWV,CoreWeave,Software & Services,A-待执行项(watchlist$95-100)
NBIS,Nebius Group,Software & Services,A-待执行项(watchlist$198)
TLN,Talen Energy,Utilities,A-待执行项(watchlist≤$345)
MSTR,Strategy,加密-BTC代理,A-待执行项($88观察仓)
CRDO,Credo Technology,Semiconductors,F-watchlist($150-180灰色地带)
LEU,Centrus Energy,Utilities-铀,F-watchlist($110-150 checklist 2/6)
LRCX,Lam Research,Semiconductors,F-watchlist($220-260)
VRT,Vertiv,Industrials-散热,F-watchlist($180-200)
GEV,GE Vernova,Utilities-电网,F-watchlist($650-750)
MELI,MercadoLibre,新兴市场消费,F-watchlist($1400-1500双条件)
EXEL,Exelixis,Pharma-Biotech,F-watchlist($45-48 PDUFA 12/3)
TMUS,T-Mobile US,Telecom,F-watchlist($170-180)
DAL,Delta Air Lines,Transportation,F-watchlist(≤$75)
HUBB,Hubbell,Industrials-电气,F-watchlist($430-470)
ANET,Arista Networks,Technology Hardware,F-watchlist($125-145)
AMKR,Amkor Technology,Semiconductors-封装,F-watchlist($48-54)
NRG,NRG Energy,Utilities-IPP,F-watchlist($118-128 checklist 6/6)
FN,Fabrinet,Technology Hardware-光互连,F-watchlist($400-442)
RIOT,RIOT Platforms,加密-矿企转AI,F-watchlist(右侧三条件)
MPLX,MPLX LP,Energy-中游,GICS1-能源(价值)
EPD,Enterprise Products Partners,Energy-中游,GICS1-能源(价值)
WMB,Williams Companies,Energy-中游,GICS1-能源(价值)
ET,Energy Transfer,Energy-中游,GICS1-能源(成长)
AM,Antero Midstream,Energy-中游,GICS1-能源(价值)
LNG,Cheniere Energy,Energy-LNG,GICS1-能源(成长:Q2beat+上调指引)
NGS,Natural Gas Services,Energy-服务,GICS1-能源(成长:EBITDA指引上调)
FCX,Freeport-McMoRan,Materials-铜,GICS2-材料(BofA首选)
AEM,Agnico Eagle,Materials-金,GICS2-材料(BofA)
CCJ,Cameco,Materials-铀,GICS2-材料(BofA/AI电力)
HBM,Hudbay Minerals,Materials-铜,GICS2-材料(价值)
LUNR,Intuitive Machines,Capital Goods-航天,GICS3-工业(成长:KeyBanc)
KTOS,Kratos Defense,Capital Goods-防务,GICS3-工业(成长:KeyBanc)
AVAV,AeroVironment,Capital Goods-防务,GICS3-工业(成长:KeyBanc)
BA,Boeing,Capital Goods-航空,GICS3-工业(UBS)
HXL,Hexcel,Capital Goods-材料,GICS3-工业(UBS)
GE,GE Aerospace,Capital Goods-航空,GICS3-工业(UBS)
TDG,TransDigm,Capital Goods-航空,GICS3-工业(UBS)
RTX,RTX Corp,Capital Goods-防务,GICS3-工业(价值)
LMT,Lockheed Martin,Capital Goods-防务,GICS3-工业(价值)
HON,Honeywell,Capital Goods-多元,GICS3-工业(价值)
NOC,Northrop Grumman,Capital Goods-防务,GICS3-工业(价值)
CLH,Clean Harbors,Commercial Services-危废,GICS4-商业服务(ATH+EPS CAGR24.6%)
RSG,Republic Services,Commercial Services-固废,GICS4-商业服务(价值)
WM,Waste Management,Commercial Services-固废,GICS4-商业服务(价值)
