ticker,company,gics_sector,source
ET,Energy Transfer LP,Energy,B-GICS1价值
ENB,Enbridge Inc,Energy,B-GICS1价值
OKE,ONEOK Inc,Energy,B-GICS1价值
LNG,Cheniere Energy,Energy,B-GICS1价值
CQP,Cheniere Energy Partners,Energy,B-GICS1价值
VG,Venture Global Inc,Energy,B-GICS1成长
DHT,DHT Holdings,Energy,B-GICS1价值
ARLP,Alliance Resource Partners,Energy,B-GICS1价值
GPRE,Green Plains Inc,Energy,B-GICS1成长
DOW,Dow Inc,Materials,B-GICS2价值
SQM,Sociedad Quimica y Minera de Chile,Materials,B-GICS2成长
KRO,Kronos Worldwide,Materials,B-GICS2成长
UAN,CVR Partners,Materials,B-GICS2价值
MP,MP Materials,Materials,B-GICS2成长
ALB,Albemarle Corp,Materials,B-GICS2成长
LAR,Lithium Americas,Materials,B-GICS2成长
NEM,Newmont Corp,Materials,B-GICS2价值
GOLD,Barrick Gold,Materials,B-GICS2价值
AEM,Agnico Eagle Mines,Materials,B-GICS2价值
WPM,Wheaton Precious Metals,Materials,B-GICS2价值
FNV,Franco-Nevada Corp,Materials,B-GICS2价值
RGLD,Royal Gold,Materials,B-GICS2价值
GE,GE Aerospace,Industrials,B-GICS3成长
RTX,RTX Corp,Industrials,B-GICS3价值
BA,Boeing,Industrials,B-GICS3价值
LMT,Lockheed Martin,Industrials,B-GICS3价值
CAT,Caterpillar,Industrials,B-GICS3价值
HII,Huntington Ingalls Industries,Industrials,B-GICS3价值
IEX,IDEX Corp,Industrials,B-GICS3价值
NOC,Northrop Grumman,Industrials,B-GICS3价值
BWXT,BWX Technologies,Industrials,B-GICS3成长
BAESY,BAE Systems,Industrials,B-GICS3价值
RNMBY,Rheinmetall AG,Industrials,B-GICS3成长
KRMN,Karman Holdings,Industrials,B-GICS3成长
ONDS,Ondas Holdings,Industrials,B-GICS3成长
NPK,NPK International,Industrials,B-GICS3价值
SPCE,Virgin Galactic,Industrials,B-GICS3成长
RDW,Redwire Corp,Industrials,B-GICS3成长
AIRI,Air Industries Group,Industrials,B-GICS3成长
BE,Bloom Energy,Industrials,B-GICS3成长
WM,Waste Management,Industrials,B-GICS3价值
CLH,Clean Harbors,Industrials,B-GICS3价值
UPS,United Parcel Service,Industrials,B-GICS3价值
CP,Canadian Pacific Kansas City,Industrials,B-GICS3价值
CSX,CSX Corp,Industrials,B-GICS3价值
UNP,Union Pacific Corp,Industrials,B-GICS3价值
FDX,FedEx Corp,Industrials,B-GICS3价值
JBHT,JB Hunt Transport Services,Industrials,B-GICS3价值
LUV,Southwest Airlines,Industrials,B-GICS3价值
UBER,Uber Technologies,Consumer Discretionary,B-GICS4成长
JOBY,Joby Aviation,Consumer Discretionary,B-GICS4成长
BLBD,Blue Bird Corp,Consumer Discretionary,B-GICS4成长
TSLA,Tesla Inc,Consumer Discretionary,B-GICS4成长
GM,General Motors,Consumer Discretionary,B-GICS4价值
F,Ford Motor Co,Consumer Discretionary,B-GICS4价值
RIVN,Rivian Automotive,Consumer Discretionary,B-GICS4成长
BWA,BorgWarner Inc,Consumer Discretionary,B-GICS4价值
AZO,AutoZone Inc,Consumer Discretionary,B-GICS4价值
ORLY,O'Reilly Automotive,Consumer Discretionary,B-GICS4价值
RH,RH,Consumer Discretionary,B-GICS4成长
RACE,Ferrari NV,Consumer Discretionary,B-GICS4成长
LVMUY,LVMH Moet Hennessy Louis Vuitton,Consumer Discretionary,B-GICS4价值
KMX,CarMax Inc,Consumer Discretionary,B-GICS4价值
