ticker,company,gics_sector,source
VST,Vistra Corp,电力IPP,C-漏斗(电力散热)
CEG,Constellation Energy,电力IPP/核电,C-漏斗(电力散热)
TLN,Talen Energy,电力IPP/核电,C-漏斗(电力散热)
NRG,NRG Energy,电力IPP,C-漏斗(电力散热)
PCG,PG&E Corp,电力公用事业,C-漏斗(电力散热)
EXC,Exelon Corp,电力公用事业,C-漏斗(电力散热)
NEE,NextEra Energy,电力公用事业,C-漏斗(电力散热)
PEG,Public Service Enterprise Group,电力公用事业,C-漏斗(电力散热)
DUK,Duke Energy,电力公用事业,C-漏斗(电力散热)
SO,Southern Company,电力公用事业,C-漏斗(电力散热)
XEL,Xcel Energy,电力公用事业,C-漏斗(电力散热)
ETR,Entergy Corp,电力公用事业,C-漏斗(电力散热)
D,Dominion Energy,电力公用事业,C-漏斗(电力散热)
ES,Eversource Energy,电力公用事业,C-漏斗(电力散热)
CCJ,Cameco Corp,核电铀燃料,C-漏斗(电力散热)
LEU,Centrus Energy,核电铀浓缩/HALEU,C-漏斗(电力散热)
UUUU,Energy Fuels,铀矿,C-漏斗(电力散热)
NXE,NexGen Energy,铀矿,C-漏斗(电力散热)
BE,Bloom Energy,燃料电池/分布式电力,C-漏斗(电力散热)
OKLO,Oklo Inc,SMR小型堆,C-漏斗(电力散热)
SMR,NuScale Power,SMR小型堆,C-漏斗(电力散热)
NNE,Nano Nuclear Energy,微型堆,C-漏斗(电力散热)
XE,X-energy,X堆SMR,C-漏斗(电力散热)
FRVO,Fervo Energy,地热发电(2026/5 IPO),C-漏斗(电力散热)
GEV,GE Vernova,电网设备/燃机,C-漏斗(电力散热)
ETN,Eaton Corp,电网设备/电气,C-漏斗(电力散热)
PWR,Quanta Services,电网工程,C-漏斗(电力散热)
EME,EMCOR Group,机电工程,C-漏斗(电力散热)
POWL,Powell Industries,中压配电设备,C-漏斗(电力散热)
HUBB,Hubbell Inc,电网组件,C-漏斗(电力散热)
AZZ,AZZ Inc,电网镀锌/服务,C-漏斗(电力散热)
IESC,IES Holdings,电气承包,C-漏斗(电力散热)
FIX,Comfort Systems,机电承包,C-漏斗(电力散热)
NVT,nVent Electric,电气连接/液冷,C-漏斗(电力散热)
ATKR,Atkore Inc,电气管材,C-漏斗(电力散热)
VRT,Vertiv Holdings,数据中心散热/电力,C-漏斗(电力散热)
MOD,Modine Manufacturing,散热液冷,C-漏斗(电力散热)
TT,Trane Technologies,HVAC/散热,C-漏斗(电力散热)
JCI,Johnson Controls,HVAC/散热,C-漏斗(电力散热)
AAON,AAON Inc,HVAC,C-漏斗(电力散热)
CARR,Carrier Global,HVAC,C-漏斗(电力散热)
002837.SZ,英维克,精密温控/液冷,C-漏斗(电力散热)
301018.SZ,申菱环境,数据中心温控,C-漏斗(电力散热)
300499.SZ,高澜股份,液冷温控,C-漏斗(电力散热)
300990.SZ,同飞股份,工业温控,C-漏斗(电力散热)
000811.SZ,冰轮环境,制冷装备,C-漏斗(电力散热)
