ticker,company,gics_sector,source
GEV,GE Vernova,Industrials,D-瓶颈(电力)
VST,Vistra Corp,Utilities,D-瓶颈(电力)
ETN,Eaton Corp,Industrials,D-瓶颈(电力)
HUBB,Hubbell Inc,Industrials,D-瓶颈(电力)
TSM,TSMC,Information Technology,D-瓶颈(CoWoS/HBM)
AMKR,Amkor Technology,Information Technology,D-瓶颈(CoWoS/HBM)
MU,Micron Technology,Information Technology,D-瓶颈(CoWoS/HBM)
COHR,Coherent Corp,Information Technology,D-瓶颈(光互连)
LITE,Lumentum Holdings,Information Technology,D-瓶颈(光互连)
FN,Fabrinet,Information Technology,D-瓶颈(光互连)
AXTI,AXT Inc,Information Technology,D-瓶颈(光互连)
SNDK,SanDisk Corp,Information Technology,D-瓶颈(存储)
VRT,Vertiv Holdings,Industrials,D-瓶颈(液冷)
MOD,Modine Manufacturing,Industrials,D-瓶颈(液冷)
