ticker,company,gics_sector,source
VRT,Vertiv Holdings,Industrials,G-生态链(META)
ETN,Eaton Corporation,Industrials,G-生态链(META)
SBGSY,Schneider Electric SE (ADR),Industrials,G-生态链(META)
ABBNY,ABB Ltd (ADR),Industrials,G-生态链(META)
ANET,Arista Networks,Information Technology,G-生态链(META)
CSCO,Cisco Systems,Information Technology,G-生态链(META)
NVDA,NVIDIA Corporation,Information Technology,G-生态链(META)
AVGO,Broadcom Inc.,Information Technology,G-生态链(META)
GEV,GE Vernova,Utilities,G-生态链(META)
CEG,Constellation Energy,Utilities,G-生态链(META)
BLK,BlackRock,Financials,G-生态链(MSFT)
DELL,Dell Technologies,Information Technology,G-生态链(MSFT)
CRWV,CoreWeave,Information Technology,G-生态链(MSFT)
AMAT,Applied Materials,Information Technology,G-生态链(TSM)
LRCX,Lam Research,Information Technology,G-生态链(TSM)
KLAC,KLA Corporation,Information Technology,G-生态链(TSM)
ASML,ASML Holding,Information Technology,G-生态链(TSM)
MKSI,MKS Instruments,Information Technology,G-生态链(TSM)
PLAB,Photronics,Information Technology,G-生态链(TSM)
APD,Air Products and Chemicals,Materials,G-生态链(TSM)
ASX,ASE Technology Holding,Information Technology,G-生态链(TSM)
AMKR,Amkor Technology,Information Technology,G-生态链(TSM)
SMICY,Semiconductor Manufacturing International (ADR),Information Technology,G-生态链(BABA)
AAPL,Apple Inc.,Information Technology,G-生态链(BRK)
AXP,American Express,Financials,G-生态链(BRK)
KO,The Coca-Cola Company,Consumer Staples,G-生态链(BRK)
CVX,Chevron Corporation,Energy,G-生态链(BRK)
OXY,Occidental Petroleum,Energy,G-生态链(BRK)
MCO,Moodys Corporation,Financials,G-生态链(BRK)
DVA,DaVita Inc.,Health Care,G-生态链(BRK)
AMZN,Amazon.com,Consumer Discretionary,G-生态链(BRK)
UPS,United Parcel Service,Industrials,G-生态链(BRK)
V,Visa Inc.,Financials,G-生态链(INTU)
MA,Mastercard Incorporated,Financials,G-生态链(INTU)
FIS,Fidelity National Information Services,Information Technology,G-生态链(INTU)
FI,Fiserv,Financials,G-生态链(INTU)
GPN,Global Payments,Financials,G-生态链(INTU)
CDW,CDW Corporation,Information Technology,G-生态链(ADBE)
SNX,TD SYNNEX Corporation,Information Technology,G-生态链(ADBE)
NSIT,Insight Enterprises,Information Technology,G-生态链(ADBE)
ALAB,Astera Labs,Information Technology,G-生态链(APLD)
NBIS,Nebius Group,Information Technology,G-生态链(APLD)
BK,The Bank of New York Mellon,Financials,G-生态链(CRCL)
COIN,Coinbase Global,Financials,G-生态链(CRCL)
PYPL,PayPal Holdings,Financials,G-生态链(CRCL)
HOOD,Robinhood Markets,Financials,G-生态链(CRCL)
