VZ,Verizon,Telecommunication Services,GICS-Telecom
T,AT&T,Telecommunication Services,GICS-Telecom
TMUS,T-Mobile US,Telecommunication Services,GICS-Telecom
AMT,American Tower,Telecommunication Services,GICS-Telecom
CCI,Crown Castle,Telecommunication Services,GICS-Telecom
NFLX,Netflix,Media & Entertainment,GICS-MediaEnt
CMCSA,Comcast,Media & Entertainment,GICS-MediaEnt
WBD,Warner Bros Discovery,Media & Entertainment,GICS-MediaEnt
DIS,Disney,Media & Entertainment,GICS-MediaEnt
SPOT,Spotify,Media & Entertainment,GICS-MediaEnt
ROKU,Roku,Media & Entertainment,GICS-MediaEnt
EA,Electronic Arts,Media & Entertainment,GICS-MediaEnt
COST,Costco,Consumer Staples Distribution & Retail,GICS-StaplesDist
SYY,Sysco,Consumer Staples Distribution & Retail,GICS-StaplesDist
USFD,US Foods,Consumer Staples Distribution & Retail,GICS-StaplesDist
PFGC,Performance Food Group,Consumer Staples Distribution & Retail,GICS-StaplesDist
CHEF,Chefs Warehouse,Consumer Staples Distribution & Retail,GICS-StaplesDist
UNFI,United Natural Foods,Consumer Staples Distribution & Retail,GICS-StaplesDist
PM,Philip Morris,Food Beverage & Tobacco,GICS-FoodBev
BTI,British American Tobacco,Food Beverage & Tobacco,GICS-FoodBev
BUD,Anheuser-Busch InBev,Food Beverage & Tobacco,GICS-FoodBev
DEO,Diageo,Food Beverage & Tobacco,GICS-FoodBev
STZ,Constellation Brands,Food Beverage & Tobacco,GICS-FoodBev
KO,Coca-Cola,Food Beverage & Tobacco,GICS-FoodBev
PEP,PepsiCo,Food Beverage & Tobacco,GICS-FoodBev
PG,Procter & Gamble,Household & Personal Products,GICS-Household
CL,Colgate-Palmolive,Household & Personal Products,GICS-Household
KVUE,Kenvue,Household & Personal Products,GICS-Household
EL,Estee Lauder,Household & Personal Products,GICS-Household
ELF,e.l.f. Beauty,Household & Personal Products,GICS-Household
EPC,Edgewell Personal Care,Household & Personal Products,GICS-Household
IPAR,Inter Parfums,Household & Personal Products,GICS-Household
HELE,Helen of Troy,Household & Personal Products,GICS-Household
ABT,Abbott Laboratories,Health Care Equipment & Services,GICS-HCEquip
